epoch,loss,valLoss,accuracy,utc
1013,0,000063,0,000063,,2026-01-19T19:26:48.7410322+00:00
1014,0,000063,0,000063,,2026-01-19T19:26:48.7476892+00:00
1015,0,000063,0,000063,,2026-01-19T19:26:48.7531029+00:00
1016,0,000063,0,000063,,2026-01-19T19:26:48.7591657+00:00
1017,0,000063,0,000063,,2026-01-19T19:26:48.7645540+00:00
1018,0,000063,0,000063,,2026-01-19T19:26:48.7699231+00:00
1019,0,000063,0,000063,,2026-01-19T19:26:48.7774680+00:00
1020,0,000063,0,000062,1,000000,2026-01-19T19:26:48.7827781+00:00
1021,0,000062,0,000062,,2026-01-19T19:26:48.7879893+00:00
1022,0,000062,0,000062,,2026-01-19T19:26:48.7941203+00:00
1023,0,000062,0,000062,,2026-01-19T19:26:48.8000666+00:00
1024,0,000062,0,000062,,2026-01-19T19:26:48.8069477+00:00
1025,0,000062,0,000062,,2026-01-19T19:26:48.8124085+00:00
1026,0,000062,0,000062,,2026-01-19T19:26:48.8213415+00:00
1027,0,000062,0,000062,,2026-01-19T19:26:48.8274212+00:00
1028,0,000062,0,000062,,2026-01-19T19:26:48.8353221+00:00
1029,0,000062,0,000062,,2026-01-19T19:26:48.8434247+00:00
1030,0,000062,0,000061,1,000000,2026-01-19T19:26:48.8502580+00:00
1031,0,000061,0,000061,,2026-01-19T19:26:48.8559663+00:00
1032,0,000061,0,000061,,2026-01-19T19:26:48.8618844+00:00
1033,0,000061,0,000061,,2026-01-19T19:26:48.8694857+00:00
1034,0,000061,0,000061,,2026-01-19T19:26:48.8747988+00:00
1035,0,000061,0,000061,,2026-01-19T19:26:48.8815960+00:00
1036,0,000061,0,000061,,2026-01-19T19:26:48.8869828+00:00
1037,0,000061,0,000061,,2026-01-19T19:26:48.8924897+00:00
1038,0,000061,0,000061,,2026-01-19T19:26:48.8978647+00:00
1039,0,000061,0,000061,,2026-01-19T19:26:48.9036559+00:00
1040,0,000061,0,000060,1,000000,2026-01-19T19:26:48.9108682+00:00
1041,0,000060,0,000060,,2026-01-19T19:26:48.9169013+00:00
1042,0,000060,0,000060,,2026-01-19T19:26:48.9235482+00:00
1043,0,000060,0,000060,,2026-01-19T19:26:48.9290646+00:00
1044,0,000060,0,000060,,2026-01-19T19:26:48.9355816+00:00
1045,0,000060,0,000060,,2026-01-19T19:26:48.9408974+00:00
1046,0,000060,0,000060,,2026-01-19T19:26:48.9464534+00:00
1047,0,000060,0,000060,,2026-01-19T19:26:48.9539299+00:00
1048,0,000060,0,000060,,2026-01-19T19:26:48.9595990+00:00
1049,0,000060,0,000060,,2026-01-19T19:26:48.9656574+00:00
1050,0,000060,0,000060,1,000000,2026-01-19T19:26:48.9712969+00:00
1051,0,000060,0,000059,,2026-01-19T19:26:48.9769295+00:00
1052,0,000059,0,000059,,2026-01-19T19:26:48.9827755+00:00
1053,0,000059,0,000059,,2026-01-19T19:26:48.9896877+00:00
1054,0,000059,0,000059,,2026-01-19T19:26:48.9969451+00:00
1055,0,000059,0,000059,,2026-01-19T19:26:49.0030352+00:00
1056,0,000059,0,000059,,2026-01-19T19:26:49.0112962+00:00
1057,0,000059,0,000059,,2026-01-19T19:26:49.0196370+00:00
1058,0,000059,0,000059,,2026-01-19T19:26:49.0278350+00:00
1059,0,000059,0,000059,,2026-01-19T19:26:49.0358571+00:00
1060,0,000059,0,000059,1,000000,2026-01-19T19:26:49.0483612+00:00
1061,0,000059,0,000058,,2026-01-19T19:26:49.0573295+00:00
1062,0,000058,0,000058,,2026-01-19T19:26:49.0679228+00:00
1063,0,000058,0,000058,,2026-01-19T19:26:49.0777396+00:00
1064,0,000058,0,000058,,2026-01-19T19:26:49.0860546+00:00
1065,0,000058,0,000058,,2026-01-19T19:26:49.0942810+00:00
1066,0,000058,0,000058,,2026-01-19T19:26:49.1032516+00:00
1067,0,000058,0,000058,,2026-01-19T19:26:49.1157645+00:00
1068,0,000058,0,000058,,2026-01-19T19:26:49.1246314+00:00
1069,0,000058,0,000058,,2026-01-19T19:26:49.1331288+00:00
1070,0,000058,0,000058,1,000000,2026-01-19T19:26:49.1422079+00:00
1071,0,000058,0,000058,,2026-01-19T19:26:49.1515590+00:00
1072,0,000058,0,000058,,2026-01-19T19:26:49.1605305+00:00
1073,0,000058,0,000057,,2026-01-19T19:26:49.1727987+00:00
1074,0,000057,0,000057,,2026-01-19T19:26:49.1811402+00:00
1075,0,000057,0,000057,,2026-01-19T19:26:49.1895879+00:00
1076,0,000057,0,000057,,2026-01-19T19:26:49.1988108+00:00
1077,0,000057,0,000057,,2026-01-19T19:26:49.2122947+00:00
1078,0,000057,0,000057,,2026-01-19T19:26:49.2253425+00:00
1079,0,000057,0,000057,,2026-01-19T19:26:49.2420797+00:00
1080,0,000057,0,000057,1,000000,2026-01-19T19:26:49.2573449+00:00
1081,0,000057,0,000057,,2026-01-19T19:26:49.2681909+00:00
1082,0,000057,0,000057,,2026-01-19T19:26:49.2788876+00:00
1083,0,000057,0,000057,,2026-01-19T19:26:49.2991821+00:00
1084,0,000057,0,000056,,2026-01-19T19:26:49.3094596+00:00
1085,0,000056,0,000056,,2026-01-19T19:26:49.3254369+00:00
1086,0,000056,0,000056,,2026-01-19T19:26:49.3374986+00:00
1087,0,000056,0,000056,,2026-01-19T19:26:49.3524177+00:00
1088,0,000056,0,000056,,2026-01-19T19:26:49.3648833+00:00
1089,0,000056,0,000056,,2026-01-19T19:26:49.3950102+00:00
1090,0,000056,0,000056,1,000000,2026-01-19T19:26:49.4076908+00:00
1091,0,000056,0,000056,,2026-01-19T19:26:49.4216442+00:00
1092,0,000056,0,000056,,2026-01-19T19:26:49.4296206+00:00
1093,0,000056,0,000056,,2026-01-19T19:26:49.4382219+00:00
1094,0,000056,0,000056,,2026-01-19T19:26:49.4468952+00:00
1095,0,000056,0,000055,,2026-01-19T19:26:49.4555651+00:00
1096,0,000055,0,000055,,2026-01-19T19:26:49.4646805+00:00
1097,0,000055,0,000055,,2026-01-19T19:26:49.4774159+00:00
1098,0,000055,0,000055,,2026-01-19T19:26:49.4859896+00:00
1099,0,000055,0,000055,,2026-01-19T19:26:49.4947544+00:00
1100,0,000055,0,000055,1,000000,2026-01-19T19:26:49.5051030+00:00
1101,0,000055,0,000055,,2026-01-19T19:26:49.5152810+00:00
1102,0,000055,0,000055,,2026-01-19T19:26:49.5363268+00:00
1103,0,000055,0,000055,,2026-01-19T19:26:49.5471881+00:00
1104,0,000055,0,000055,,2026-01-19T19:26:49.5535221+00:00
1105,0,000055,0,000055,,2026-01-19T19:26:49.5626694+00:00
1106,0,000055,0,000055,,2026-01-19T19:26:49.5710775+00:00
1107,0,000055,0,000054,,2026-01-19T19:26:49.5812727+00:00
1108,0,000054,0,000054,,2026-01-19T19:26:49.5899781+00:00
1109,0,000054,0,000054,,2026-01-19T19:26:49.6035804+00:00
1110,0,000054,0,000054,1,000000,2026-01-19T19:26:49.6207244+00:00
1111,0,000054,0,000054,,2026-01-19T19:26:49.6450766+00:00
1112,0,000054,0,000054,,2026-01-19T19:26:49.6632809+00:00
1113,0,000054,0,000054,,2026-01-19T19:26:49.6769764+00:00
1114,0,000054,0,000054,,2026-01-19T19:26:49.6838316+00:00
1115,0,000054,0,000054,,2026-01-19T19:26:49.6890924+00:00
1116,0,000054,0,000054,,2026-01-19T19:26:49.6977876+00:00
1117,0,000054,0,000054,,2026-01-19T19:26:49.7040723+00:00
1118,0,000054,0,000054,,2026-01-19T19:26:49.7109267+00:00
1119,0,000054,0,000054,,2026-01-19T19:26:49.7168523+00:00
1120,0,000054,0,000053,1,000000,2026-01-19T19:26:49.7230329+00:00
1121,0,000053,0,000053,,2026-01-19T19:26:49.7298502+00:00
1122,0,000053,0,000053,,2026-01-19T19:26:49.7382772+00:00
1123,0,000053,0,000053,,2026-01-19T19:26:49.7476227+00:00
1124,0,000053,0,000053,,2026-01-19T19:26:49.7567622+00:00
1125,0,000053,0,000053,,2026-01-19T19:26:49.7635798+00:00
1126,0,000053,0,000053,,2026-01-19T19:26:49.7697784+00:00
1127,0,000053,0,000053,,2026-01-19T19:26:49.7762713+00:00
1128,0,000053,0,000053,,2026-01-19T19:26:49.7849712+00:00
1129,0,000053,0,000053,,2026-01-19T19:26:49.7956652+00:00
1130,0,000053,0,000053,1,000000,2026-01-19T19:26:49.8015481+00:00
1131,0,000053,0,000053,,2026-01-19T19:26:49.8078013+00:00
1132,0,000053,0,000052,,2026-01-19T19:26:49.8163689+00:00
1133,0,000052,0,000052,,2026-01-19T19:26:49.8220583+00:00
1134,0,000052,0,000052,,2026-01-19T19:26:49.8279591+00:00
1135,0,000052,0,000052,,2026-01-19T19:26:49.8356550+00:00
1136,0,000052,0,000052,,2026-01-19T19:26:49.8418010+00:00
1137,0,000052,0,000052,,2026-01-19T19:26:49.8478993+00:00
1138,0,000052,0,000052,,2026-01-19T19:26:49.8539467+00:00
1139,0,000052,0,000052,,2026-01-19T19:26:49.8607353+00:00
1140,0,000052,0,000052,1,000000,2026-01-19T19:26:49.8667741+00:00
1141,0,000052,0,000052,,2026-01-19T19:26:49.8728866+00:00
1142,0,000052,0,000052,,2026-01-19T19:26:49.8812166+00:00
1143,0,000052,0,000052,,2026-01-19T19:26:49.8893217+00:00
1144,0,000052,0,000052,,2026-01-19T19:26:49.8993699+00:00
1145,0,000052,0,000051,,2026-01-19T19:26:49.9092443+00:00
1146,0,000051,0,000051,,2026-01-19T19:26:49.9174240+00:00
1147,0,000051,0,000051,,2026-01-19T19:26:49.9233500+00:00
1148,0,000051,0,000051,,2026-01-19T19:26:49.9352896+00:00
1149,0,000051,0,000051,,2026-01-19T19:26:49.9412986+00:00
1150,0,000051,0,000051,1,000000,2026-01-19T19:26:49.9482128+00:00
1151,0,000051,0,000051,,2026-01-19T19:26:49.9605306+00:00
1152,0,000051,0,000051,,2026-01-19T19:26:49.9671229+00:00
1153,0,000051,0,000051,,2026-01-19T19:26:49.9741368+00:00
1154,0,000051,0,000051,,2026-01-19T19:26:49.9818552+00:00
1155,0,000051,0,000051,,2026-01-19T19:26:49.9879695+00:00
1156,0,000051,0,000051,,2026-01-19T19:26:49.9941131+00:00
1157,0,000051,0,000051,,2026-01-19T19:26:50.0001076+00:00
1158,0,000051,0,000051,,2026-01-19T19:26:50.0061276+00:00
1159,0,000051,0,000050,,2026-01-19T19:26:50.0122737+00:00
1160,0,000050,0,000050,1,000000,2026-01-19T19:26:50.0220735+00:00
1161,0,000050,0,000050,,2026-01-19T19:26:50.0282632+00:00
1162,0,000050,0,000050,,2026-01-19T19:26:50.0344437+00:00
1163,0,000050,0,000050,,2026-01-19T19:26:50.0407943+00:00
1164,0,000050,0,000050,,2026-01-19T19:26:50.0473661+00:00
1165,0,000050,0,000050,,2026-01-19T19:26:50.0554780+00:00
1166,0,000050,0,000050,,2026-01-19T19:26:50.0648341+00:00
1167,0,000050,0,000050,,2026-01-19T19:26:50.0708432+00:00
1168,0,000050,0,000050,,2026-01-19T19:26:50.0770575+00:00
1169,0,000050,0,000050,,2026-01-19T19:26:50.0833615+00:00
1170,0,000050,0,000050,1,000000,2026-01-19T19:26:50.0946161+00:00
1171,0,000050,0,000050,,2026-01-19T19:26:50.1043467+00:00
1172,0,000050,0,000049,,2026-01-19T19:26:50.1102904+00:00
1173,0,000049,0,000049,,2026-01-19T19:26:50.1162660+00:00
1174,0,000049,0,000049,,2026-01-19T19:26:50.1223009+00:00
1175,0,000049,0,000049,,2026-01-19T19:26:50.1286449+00:00
1176,0,000049,0,000049,,2026-01-19T19:26:50.1361024+00:00
1177,0,000049,0,000049,,2026-01-19T19:26:50.1446773+00:00
1178,0,000049,0,000049,,2026-01-19T19:26:50.1511746+00:00
1179,0,000049,0,000049,,2026-01-19T19:26:50.1571474+00:00
1180,0,000049,0,000049,1,000000,2026-01-19T19:26:50.1633151+00:00
1181,0,000049,0,000049,,2026-01-19T19:26:50.1696268+00:00
1182,0,000049,0,000049,,2026-01-19T19:26:50.1792991+00:00
1183,0,000049,0,000049,,2026-01-19T19:26:50.1853786+00:00
1184,0,000049,0,000049,,2026-01-19T19:26:50.1917863+00:00
1185,0,000049,0,000049,,2026-01-19T19:26:50.1982086+00:00
1186,0,000049,0,000048,,2026-01-19T19:26:50.2058542+00:00
1187,0,000048,0,000048,,2026-01-19T19:26:50.2121909+00:00
1188,0,000048,0,000048,,2026-01-19T19:26:50.2216165+00:00
1189,0,000048,0,000048,,2026-01-19T19:26:50.2280844+00:00
1190,0,000048,0,000048,1,000000,2026-01-19T19:26:50.2374210+00:00
1191,0,000048,0,000048,,2026-01-19T19:26:50.2439766+00:00
1192,0,000048,0,000048,,2026-01-19T19:26:50.2502815+00:00
1193,0,000048,0,000048,,2026-01-19T19:26:50.2601831+00:00
1194,0,000048,0,000048,,2026-01-19T19:26:50.2663192+00:00
1195,0,000048,0,000048,,2026-01-19T19:26:50.2724525+00:00
1196,0,000048,0,000048,,2026-01-19T19:26:50.2785159+00:00
1197,0,000048,0,000048,,2026-01-19T19:26:50.2848159+00:00
1198,0,000048,0,000048,,2026-01-19T19:26:50.2921420+00:00
1199,0,000048,0,000048,,2026-01-19T19:26:50.3008879+00:00
1200,0,000048,0,000048,1,000000,2026-01-19T19:26:50.3070717+00:00
1201,0,000048,0,000047,,2026-01-19T19:26:50.3135531+00:00
1202,0,000047,0,000047,,2026-01-19T19:26:50.3226845+00:00
1203,0,000047,0,000047,,2026-01-19T19:26:50.3292399+00:00
1204,0,000047,0,000047,,2026-01-19T19:26:50.3378764+00:00
1205,0,000047,0,000047,,2026-01-19T19:26:50.3445860+00:00
1206,0,000047,0,000047,,2026-01-19T19:26:50.3523101+00:00
1207,0,000047,0,000047,,2026-01-19T19:26:50.3586807+00:00
1208,0,000047,0,000047,,2026-01-19T19:26:50.3652866+00:00
1209,0,000047,0,000047,,2026-01-19T19:26:50.3719618+00:00
1210,0,000047,0,000047,1,000000,2026-01-19T19:26:50.3798685+00:00
1211,0,000047,0,000047,,2026-01-19T19:26:50.3862195+00:00
1212,0,000047,0,000047,,2026-01-19T19:26:50.3934833+00:00
1213,0,000047,0,000047,,2026-01-19T19:26:50.4005441+00:00
1214,0,000047,0,000047,,2026-01-19T19:26:50.4081854+00:00
1215,0,000047,0,000047,,2026-01-19T19:26:50.4142977+00:00
1216,0,000047,0,000046,,2026-01-19T19:26:50.4227412+00:00
1217,0,000046,0,000046,,2026-01-19T19:26:50.4288972+00:00
1218,0,000046,0,000046,,2026-01-19T19:26:50.4351878+00:00
1219,0,000046,0,000046,,2026-01-19T19:26:50.4414331+00:00
1220,0,000046,0,000046,1,000000,2026-01-19T19:26:50.4484964+00:00
1221,0,000046,0,000046,,2026-01-19T19:26:50.4548907+00:00
1222,0,000046,0,000046,,2026-01-19T19:26:50.4633987+00:00
1223,0,000046,0,000046,,2026-01-19T19:26:50.4696263+00:00
1224,0,000046,0,000046,,2026-01-19T19:26:50.4760392+00:00
1225,0,000046,0,000046,,2026-01-19T19:26:50.4821681+00:00
1226,0,000046,0,000046,,2026-01-19T19:26:50.4885387+00:00
1227,0,000046,0,000046,,2026-01-19T19:26:50.4977949+00:00
1228,0,000046,0,000046,,2026-01-19T19:26:50.5085436+00:00
1229,0,000046,0,000046,,2026-01-19T19:26:50.5152795+00:00
1230,0,000046,0,000046,1,000000,2026-01-19T19:26:50.5227393+00:00
1231,0,000046,0,000045,,2026-01-19T19:26:50.5301809+00:00
1232,0,000045,0,000045,,2026-01-19T19:26:50.5376288+00:00
1233,0,000045,0,000045,,2026-01-19T19:26:50.5441879+00:00
1234,0,000045,0,000045,,2026-01-19T19:26:50.5591144+00:00
1235,0,000045,0,000045,,2026-01-19T19:26:50.5653336+00:00
1236,0,000045,0,000045,,2026-01-19T19:26:50.5718189+00:00
1237,0,000045,0,000045,,2026-01-19T19:26:50.5780453+00:00
1238,0,000045,0,000045,,2026-01-19T19:26:50.5841947+00:00
1239,0,000045,0,000045,,2026-01-19T19:26:50.5904630+00:00
1240,0,000045,0,000045,1,000000,2026-01-19T19:26:50.5982655+00:00
1241,0,000045,0,000045,,2026-01-19T19:26:50.6045566+00:00
1242,0,000045,0,000045,,2026-01-19T19:26:50.6118234+00:00
1243,0,000045,0,000045,,2026-01-19T19:26:50.6180056+00:00
1244,0,000045,0,000045,,2026-01-19T19:26:50.6242166+00:00
1245,0,000045,0,000045,,2026-01-19T19:26:50.6306484+00:00
1246,0,000045,0,000045,,2026-01-19T19:26:50.6391873+00:00
1247,0,000045,0,000045,,2026-01-19T19:26:50.6466489+00:00
1248,0,000045,0,000044,,2026-01-19T19:26:50.6533496+00:00
1249,0,000044,0,000044,,2026-01-19T19:26:50.6603295+00:00
1250,0,000044,0,000044,1,000000,2026-01-19T19:26:50.6674970+00:00
1251,0,000044,0,000044,,2026-01-19T19:26:50.6742604+00:00
1252,0,000044,0,000044,,2026-01-19T19:26:50.6856157+00:00
1253,0,000044,0,000044,,2026-01-19T19:26:50.6920258+00:00
1254,0,000044,0,000044,,2026-01-19T19:26:50.6992259+00:00
1255,0,000044,0,000044,,2026-01-19T19:26:50.7056839+00:00
1256,0,000044,0,000044,,2026-01-19T19:26:50.7133697+00:00
1257,0,000044,0,000044,,2026-01-19T19:26:50.7197507+00:00
1258,0,000044,0,000044,,2026-01-19T19:26:50.7274086+00:00
1259,0,000044,0,000044,,2026-01-19T19:26:50.7343970+00:00
1260,0,000044,0,000044,1,000000,2026-01-19T19:26:50.7407014+00:00
1261,0,000044,0,000044,,2026-01-19T19:26:50.7477972+00:00
1262,0,000044,0,000044,,2026-01-19T19:26:50.7541388+00:00
